X,Y,Z
-65.6847,290.0,35.8589
-71.532,290.0,21.895
-74.4506,290.0,7.04517
-74.3233,290.0,-8.08397
-71.1566,290.0,-22.8747
-65.0812,290.0,-36.7236
-56.3461,290.0,-49.0654
-45.3088,290.0,-59.3968
-32.4204,290.0,-67.2964
-18.2074,290.0,-72.442
-3.25024,290.0,-74.6238
11.8402,290.0,-73.7526
26.4478,290.0,-69.864
39.976,290.0,-63.1163
51.872,290.0,-53.7844
61.6496,290.0,-42.2489
68.9088,290.0,-28.98
73.3522,290.0,-14.5189
74.7969,290.0,0.544297
73.1823,290.0,15.5949
68.5724,290.0,30.0182
61.1535,290.0,43.2249
51.2263,290.0,54.6747
39.1942,290.0,63.8986
25.5454,290.0,70.5155
10.8278,290.0,74.2143
-4.33302,290.0,74.8747
-19.3082,290.0,72.4468
-33.476,290.0,67.0431
-46.2621,290.0,58.9048
-57.1459,290.0,48.3661
-65.6847,274.737,35.8589
-71.532,274.737,21.895
-74.4506,274.737,7.04517
-74.3233,274.737,-8.08397
-71.1566,274.737,-22.8747
-65.0812,274.737,-36.7236
-56.3461,274.737,-49.0654
-45.3088,274.737,-59.3968
-32.4204,274.737,-67.2964
-18.2074,274.737,-72.442
-3.25024,274.737,-74.6238
11.8402,274.737,-73.7526
26.4478,274.737,-69.864
39.976,274.737,-63.1163
51.872,274.737,-53.7844
61.6496,274.737,-42.2489
68.9088,274.737,-28.98
73.3522,274.737,-14.5189
74.7969,274.737,0.544297
73.1823,274.737,15.5949
68.5724,274.737,30.0182
61.1535,274.737,43.2249
51.2263,274.737,54.6747
39.1942,274.737,63.8986
25.5454,274.737,70.5155
10.8278,274.737,74.2143
-4.33302,274.737,74.8747
-19.3082,274.737,72.4468
-33.476,274.737,67.0431
-46.2621,274.737,58.9048
-57.1459,274.737,48.3661
-65.6847,259.474,35.8589
-71.532,259.474,21.895
-74.4506,259.474,7.04517
-74.3233,259.474,-8.08397
-71.1566,259.474,-22.8747
-65.0812,259.474,-36.7236
-56.3461,259.474,-49.0654
-45.3088,259.474,-59.3968
-32.4204,259.474,-67.2964
-18.2074,259.474,-72.442
-3.25024,259.474,-74.6238
11.8402,259.474,-73.7526
26.4478,259.474,-69.864
39.976,259.474,-63.1163
51.872,259.474,-53.7844
61.6496,259.474,-42.2489
68.9088,259.474,-28.98
73.3522,259.474,-14.5189
74.7969,259.474,0.544297
73.1823,259.474,15.5949
68.5724,259.474,30.0182
61.1535,259.474,43.2249
51.2263,259.474,54.6747
39.1942,259.474,63.8986
25.5454,259.474,70.5155
10.8278,259.474,74.2143
-4.33302,259.474,74.8747
-19.3082,259.474,72.4468
-33.476,259.474,67.0431
-46.2621,259.474,58.9048
-57.1459,259.474,48.3661
-65.6847,244.211,35.8589
-71.532,244.211,21.895
-74.4506,244.211,7.04517
-74.3233,244.211,-8.08397
-71.1566,244.211,-22.8747
-65.0812,244.211,-36.7236
-56.3461,244.211,-49.0654
-45.3088,244.211,-59.3968
-32.4204,244.211,-67.2964
-18.2074,244.211,-72.442
